category1,location
Coffee store,4
coffee shop,4
cafe,4
bakery,4
restaurant,5
Taiwanese restaurant,5
Chinese restaurant,5
Breakfast restaurant,5
Deli,5
Fast food restaurant,5
Korean restaurant,5
Ramen restaurant,5
Seafood restaurant,5
Noodle shop,5
Thai restaurant,5
Asian restaurant,5
pasta shop,5
Hot pot restaurant,5
Italian restaurant,5
Gyudon restaurant,5
Dessert shop,5
Night market,5
nightmarket,5
Dessert restaurant,5
Ramen restaurant,5
Conveyor belt sushi restaurant,5
Japanese curry restaurant,5
Dumpling restaurant,5
Shanghainese restaurant,5
Tonkatsu restaurant,5
Yakiniku restaurant,5
Shabu-shabu restaurant,5
Hamburger restaurant,5
Teppanyaki restaurant,5
Pizza takeaway,5
Steak house,5
Tea house,5
Hong Kong style fast food restaurant,5
Dim sum restaurant,5
American restaurant,5
Mexican restaurant,5
Authentic Japanese restaurant,5
Sukiyaki and Shabu Shabu restaurant,5
Yakitori restaurant,5
Store,6
Outlet mall,6
Bead store,6
shopping mall,6
Fashion accessories store,6
department store,6
Sporting goods store,6
Clothing store,6
Do-it-yourself shop,6
convenience_store,6
Hypermarket,6
Warehouse store,6
Warehouse club,6
Drug store,6
Supermarket,6
Home goods store,6
gym,8
stadium,8
sport complex,8
indoor swimming pool,8
Place of worship,8
Sprots  complex,8
Business school,9
Cramming school,9
cram school,9
Building,9
Technical university,9
tea shop,10
tea store,10
ice cream and drink shop,10
soft drink shop,10
3-star hotel,11
4-star hotel,11
5-star hotel,11
hotel,11
lodging,11
Train station,12
theme park,13
Tourist attraction,13
National park,13
Visitor center,13
Cultural center,13
Scenic spot,13
Art museum,13
university,13
point_of_interest,13
Fairground,13
Art center,13
Ecological park,13
Garden,13
hair_care,14
hair salon,14
Nail salon,14
Waxing hair removal service,14
Beauty salon,14
Hairdresser,14
Karaoke bar,15
Video karaoke,15
Movie theater,15
Department of motor vehicles,16
beach,17
Otolaryngology clinic,18
clinic,18
park,19
Book store,20
Convenience store,21
Bar & grill,22
Bar,22
Pub,22
Night club,22
Post office,23
Subway station,24
Dental clinic,25
bridge,26
Harbor,26
Pagoda,27